,choose_one,text_no_rt,user
1848,Informative (Direct or Indirect),GOP hates women middle class gays & now tornado victims.  I guess the Koch brothers keep writing their scripts. Shameful.#wiunion Cantor, 
1849,Personal only,Just realized the only shirts in my tornado bag were @Cubs and @okcthunder ones lol #priorities #winning, 
1850,Informative (Direct or Indirect),tornado in joplin is pretty sad. people hurt and killed. Lots of good people there., 
1851,Personal only,Awwwww shit! A damn tornado warning!! ITS ABOUT TO GO DOWN ( K. Hart voice), 
1852,Personal only,If you saw @MadPoet78 and my conversation about the tornado coverage you'd unfollow us for the horrid heartless people we are., 
1853,Informative (Direct),Listening to Tornado sirens going off at the front door! http://instagr.am/p/Erm58/, 
1854,Informative (Direct or Indirect),@diegodapharaoh watz gud fam... Bring a dutch nd ima fill it wit a real kansas city tornado... Crucial!!, 
1855,Informative (Indirect),Report from #Newcastle #OKwx school that shatter proof glass was bowing 'out' from inside the school - #crazy, 
1856,Personal only,@PowerhouseBNE  ---&gt; lets all b joining our faith & praying 4 Lora Deans hometown - Joplin - which is bracing 4 anoth ..., 
1857,Informative (Direct or Indirect),Prayers for the people of North Eastern Texas. Tornado sirens went off there too., 
1858,Informative (Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
1859,Personal only,please pray for the tornado victims.. PLEASE.., 
1860,Personal only,@Major0194 Hahaa I wanna see you fight a tornado! xD, 
1861,Informative (Indirect),Just In: Storm Prediction Center issues tornado watch for western Missouri; extreme eastern Kansas until 3am CDT; includes city ..., 
1862,Personal only,So much for this tornado warning. This weather is #smalldawg, 
1863,Personal only,#Tragedies are unpredictable but you can always make a difference. Help tornado victims of #Joplin by visiting @RedCross or  ..., 
1864,Other,Lady at walgreens is crying. She lost everything. Not even seeing the damage you can still feel the impact on people  ..., 
1865,Personal only,@MrJosh86 Just a long tornado season. Maryland Heights got hit real hard last month. So did the airport. More on the way too., 
1866,Informative (Direct),Severe thunderstorm and tornado warning moving over us right now....we are good so far....., 
1867,Personal only,Pray for the residents of Oklahoma y'all. They just suffered a deadly tornado. Pray for Joplin Pray for your SOULS! This is NOT A GAME!, 
1868,Informative (Indirect),OK tornado death total now up to 4, 
1869,Informative (Direct),In case you were wondering the National Broadcast Service absolutely can & will interrupt your playing DVR to alert you of a tornado., 
1870,Personal only,Taking a shower before the weather gets too nasty. Then I will write a paper. Nothing like a tornado warning to light a fight under you., 
1871,Personal only,@beckylbranch Hey you guys ok? I see there is a tornado warning in your area., 
1872,Informative (Direct),Wrapping myself with a mattress and to the closet. Tornado strike in 30 minutes. #FortWorth, 
1873,Personal only,I hate tornado's! So glad my fam. is ok! Still sad my thunder lost last night! :-( But its alright! I still #lovemyOKC, 
1874,Informative (Direct),Holy shit - tornado sirens just went off in the middle of dinner, 
1875,Informative (Indirect),Tornado watch til 3:00 am.... #ugh, 
1876,Informative (Direct or Indirect),So far 7 dead in tornado tonight so sad, 
1877,Informative (Direct or Indirect),Tornado time in Texas. Getting closer as closer to home, 
1878,Personal only,Praying for Oklahoma.  Bless their hearts!  #tornado, 
1879,Personal only,We are safe our home is safe. Friends family are safe. but so many others are not. Prayers for the victims of tornado's fury., 
1880,Informative (Direct or Indirect),Another day of deadly tornado activity. These are scary times :(, 
1881,Personal only,Everone please pray for all the people in tornado areas..., 
1882,Informative (Direct or Indirect),Tornado reported in Denton County Texas near I-35 W and FM 407. #txwx, 
1883,Informative (Direct or Indirect),Okemah #Oklahoma seek shelter! This storms is heading ENE and could produce a #tornado very soon. Very strong low level rotation. #OKWX, 
1884,Personal only,@ryanwells has your weatherradio app alerted to the tornado watch? Mine has not., 
1885,Informative (Direct or Indirect),Just seeing footage of the Goldsby Okla. tornado. Wow. Frightening, 
1886,Informative (Direct or Indirect),FOX23: Tulsa area start taking precautions now. The storm is closing in on the metro area. Stay safe. Don't take chances. #okwx, 
1887,Personal only,@HoneySucklle Glad to hear it!! Did your area have a tornado? We had some TERRIBLE storms here last night. Scary stuff., 
1888,Informative (Direct or Indirect),Tornado watch effective till 3am, 
1889,Personal only,@mtinthed Running is good. Running in a tornado is not good., 
1890,Personal only,Tornado over and first thing everyone does......gets on Facebook ha, 
1891,Informative (Direct or Indirect),Tornado watch until 2:00 am, 
1892,Personal only,OMFGG MORE TORNADO WATCHES. IM SOO SICKKK OF THIS!, 
1893,Informative (Indirect),@GlamBadger I am in a tornado watch now . : /, 
1894,Personal only,@mariodacat That would be so awful. It's sad watching the people of #joplin dig through the rubble., 
1895,Informative (Indirect),Heartbreaking watching these families searching for their kids after Joplin tornado on @CNN go to the CNN website to see contact info, 
1896,Informative (Direct),Thank God the tornado just passed us...phew it was pretty scary :-/.. Sadly two dead in El Reno., 
1897,Informative (Indirect),#TORNADO WARNING FOR NORTHWESTERN MITCHELL COUNTY IN NORTH CENTRAL KANSAS UNTIL 815 PM CDT #kswx, 
1898,Personal only,please pray for the tornado victims.. PLEASE.., 
1899,Informative (Direct or Indirect),Three small children missing in a Oklahoma town. They got separated from their family as the tornado came through the ..., 
1900,Informative (Indirect),Oh no :/ RT @nycrk1: JFC RT @TWCBreaking: New tornado watch until 3am CDT for western MO.  Includes #Joplin.  (cont) http://tl.gd/alv4m0, 
1901,Informative (Direct or Indirect),Much of OK is under tornado watches... please stay safe seek shelter and keep tuned to emergency information, 
1902,Personal only,OMG!!! My heart is with everybody that was affected by the tornado :+(, 
1903,Informative (Direct or Indirect),Tornado Watch has been issued...in effect till 3AM. Going to be a LONG night!, 
1904,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1905,Informative (Direct or Indirect),Tornado outbrake again. 4 tornadoes tearing oklahoma apart!! One is described as a mini-hurricane!! My god. Fatalities again, 
1906,Informative (Direct),Damn now NC under tornado warning let me retreat!, 
1907,Informative (Direct),Lawd we're under yet ANOTHER tornado warning..., 
1908,Personal only,@mitchelmusso Horray for you coming to Dallas! Have a safe flight there are tornado warnings :( Be careful. We want you here safe! &lt;3 you!, 
1909,Personal only,#fuckyou mother nature. give #joplin a damn break., 
1910,Informative (Indirect),Haven't had much time to check out details of the Joplin tornado but was brought to tears watching a dad crying on CNN looking for his son, 
1911,Informative (Direct),Woo! Its windy out! Here comes the tornado. Sn: I should do pantene or garneir fructis commercials., 
1912,Personal only,Praying for my bro & sis @jmccartie and @emccartie and their 2 little girls. They are hunkered down in a tornado shelter in OKC., 
1913,Personal only,@Cubanitabean Pretty good lady. We are under a tornado watch so keep your fingers crossed for us!, 
1914,Personal only,My 1000th tweet is dedicated to those in Joplin. God bless you all. We are praying for you and will continue to find ..., 
1915,Personal only,In the aftermath of the tornado I'm so very thankful my loved ones are safe!, 
1916,Personal only,Tornado watch...:/, 
1917,Informative (Indirect),Rep. Eric Cantor: No funds for Joplin tornado relief without budget cuts elsewhere. http://huff.to/mLhgOc, 
1918,Informative (Direct or Indirect),Please #pray for 3 yr old child still missing from Oklahoma tornado (didn't get location)., 
1919,Informative (Indirect),Just in: Tornado watch issued for eastern Kansas and western Missouri. Area includes Joplin Missouri. - NWS, 
1920,Informative (Direct),What a great day for a carnival. #sarcastic  it's supposed to frickin tornado #pissed screw the weather people!!! #withpassion, 
1921,Informative (Indirect),#OUN issues Tornado Warning for  Atoka Bryan Johnston [OK] till 8:45 PM CDT http://bit.ly/kMzpP6, 
1922,Informative (Direct or Indirect),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
1923,Personal only,@DrTendaji lol sorry bro. been on my phone alot since a tornado went thru my hometown, 
1924,Informative (Indirect),Awful news. RT @cnnbrk: Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b | #mowx #okwx, 
1925,Informative (Direct),Sirens started going off. Tornado has officially touched down in my hometown super worried about my family right. #p ..., 
1926,Personal only,@patricksallee everything good with me buddy. Are things ok in Shawnee? Tornado touched down very close to there., 
1927,Informative (Direct or Indirect),Oh great. Another tornado on the ground just north of Azle. Be safe everybody!, 
1928,Personal only,It's time to assume your post-tornado positions: front yardhands on hips surveying damage talk with neigbors about said damage #tornadoup, 
1929,Personal only,Is prayng for everyone around the country with this tornado outbreak going on., 
1930,Informative (Direct or Indirect),Confirmed tornado just northwest of fort worth., 
1931,Personal only,@heelsandracing Tornado warning for your area? I hope you're in a solid structure. Safe safe tonight!, 
1932,Personal only,How awesome. My family in Ark City/Winfield is now in a tornado warning. #seriously?!, 
1933,Personal only,We just got out of the storm shelter. The F4 or 5 tornado hit less than a mile from our house. It was very scary & sir ..., 
1934,Informative (Direct or Indirect),"Grab toto please!! RT""""@JoeBucsFan: """"Looks like a tornado is coming into town.""""""""", 
1935,Personal only,watching idol now since the other 3 networks are on tornado coverage.  that scotty kid makes weird faces., 
1936,Personal only,It's a tornado warning every damn day! Geesh!, 
1937,Personal only,Tornado warning last night.My girls were up ALL night.But any way.My dad and I had alone time while fishing.I cuaght a bass., 
1938,Personal only,please pray for the tornado victims.. PLEASE.., 
1939,Informative (Indirect),"A couple of homes """"are missing"""" in Stillwater according to KOTV. Not sure what that means. Debris scattered everywhere? #okwx", 
1940,Personal only,#tornado #tornado #tornado #tornado #thunderup #mavscansuckmydick, 
1941,Informative (Direct),Thunder is increasing and getting louder here in Catoosa.  #okwx, 
1942,Informative (Direct or Indirect),A #Tornado Warning issued for Mitchell County in #Kansas until 8:15pm CDT. #KS, 
1943,Personal only,@Alliswimm delayed prolly cauz of that tornado nonsense? @Hajimeezy reading?, 
1944,Informative (Direct or Indirect),Tornado reported in Denton County Texas near I-35 W and FM 407., 
1945,Personal only,Up here in McKinney we'll likely be taking tornado precautions shortly. If nothing else hail in Western collin may be ..., 
1946,Personal only,under tornado watch funnnn, 
1947,Personal only,Any 'news' organization in the US that is not live on the massive tornado outbreak in OK area tonight = #epic #FAIL., 
1948,Informative (Indirect),Rescuers searched for survivors after the state of Missouri was hit with the worst ever recorded tornado in US... http://fb.me/Ywt7GKLC, 
1949,Personal only,Dear #Oklahoma could you stop with the whole #tornado bit... I'm so over it., 
1950,Informative (Indirect),Wow watching CNN and just watched a tornado take out an 18 wheeler, 
1951,Personal only,Another tornado! My heart goes out to all the victims of these killer tornadoes. :-(, 
1952,Personal only,We dodged the F4 tornado tonight. Roped-out before getting within 5 miles., 
1953,Informative (Indirect),Follow @kskinder for storm updates. He's tracking from central OK going east with the storms. #okwx #arwx, 
1954,Informative (Direct or Indirect),Tulsa area start taking precautions now. The storm is closing in on the metro area. Stay safe. Don't take chances. #okwx, 
1955,Informative (Direct or Indirect),"Guy just asked if Brees would agree to boxing match w/Peyton Manning to raise $ for tornado relief. Brees: """"There's gotta be a better way.""""", 
1956,Personal only,@andersoncooper you are clearly not from Kansas. If you were you'd be broadcasting with an approaching tornado in the background!, 
1957,Personal only,No more tornado - time for braums ice cream - line is packed, 
1958,Personal only,It's Getting Scary Out There. Nowadays There's ALWAYS A Tornado Hurricane Or Earthquake. O.O, 
1959,Informative (Direct or Indirect),BREAKING NEWS - Tornado watch issued for area including Joplin Missouri where at least 124 people died in a twister Sunday. #cnn, 
1960,Personal only,@timothyjbrenner you are gonna have to ship me some new Gap undies! Is that a tornado forming?, 
1961,Personal only,Are we still talkin bout the tornado?!? I almost think you're talking about me....lol!!! @HennySypr4Lyf, 
1962,Personal only,Libs still show disrespect to tornado victims by claiming Global Warming is to blame. Everytime I see this it makes me sick., 
1963,Personal only,eating dinner in a tornado shelter. #oklahoma #fb, 
1964,Informative (Direct or Indirect),Tornado on the ground in reno tx between Azle & springtown. Get inside & be safe., 
1965,Informative (Indirect),Tornado Warning issued May 24 at 7:46PM CDT expiring May 24 at 8:30PM CDT by NWS Norman-Oklahoma City... http://dlvr.it/StPdd, 
1966,Informative (Indirect),Prayers for the people of North Eastern Texas. Tornado sirens went off there too., 
1967,Personal only,One of my bestfriends lost their house in a tornado. #PrayforOklahoma, 
1968,Informative (Direct),Where u live? RT @Darkskin Just took cover...damn Tornado landed about 15 minutes ago. Sirens and alarms are going off like crazy., 
1969,Informative (Indirect),russell kansas tornado warning, 
1970,Informative (Direct or Indirect),Anyone traveling...please be careful!!! Esp in North Texas. We're under a tornado watch. Not a warning anymore., 
1971,Other,@vocalbeing they tombout tornado weather 2mar, 
1972,Informative (Direct or Indirect),A new tornado watch has been issued for extreme eastern Kansas and western Missouri...including Joplin...u ..., 
1973,Personal only,#prayforjoplin   #prayforoklahoma    tornado season, 
1974,Informative (Direct or Indirect),@info4disasters as in triage? Or just one person?  #1stAid4 #okwx #Joplin, 
1975,Informative (Direct or Indirect),Ne and all ppl in peidmont Oklahoma get below ground now! Massive tornado on the ground!, 
1976,Personal only,Watching tornado hell on tv., 
1977,Informative (Direct),@gbagnation A WATCH is be cautious a tornado is possible. A WARNING is a tornado is on the ground., 
1978,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1979,Personal only,My wife's aunt survived Sunday's tornado in Joplin by getting between her bed and the wall. Nothing left of her apartment a brick duplex!, 
1980,Personal only,@JackOfallArts tornado, 
1981,Informative (Direct),"It sucks ReallyBut hey You decided to set up shop in an area Nicknamed """"Tornado Alley""""Nothing good comes outof the words Tornado and Alley", 
1982,Other,was perhaps a mistake to listen to audio taken inside a tornado #joplin #nightmares, 
1983,Personal only,1Way is collecting items to take to tornado victims such as soap shampoo toothbrushes etc. Bring them to 1Way 2mro!, 
1984,Personal only,Getting our gear on @hkatherinechloe #Tornado #tornadohunt, 
1985,Informative (Indirect),Denton area watch out. Decatur has a tornado warning up. Storm cell is moving into Denton area soon. o(;A;)o Home & kitties plz be safe.., 
1986,Personal only,please pray for the tornado victims.. PLEASE.., 
1987,Informative (Direct or Indirect),Well hell... They just reissued a tornado watch for Yukon again... I quit!, 
1988,Informative (Direct or Indirect),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
1989,Informative (Indirect),Two dead from Oklahoma tornado http://sockroll.com/fq69o9, 
1990,Personal only,My heard goes out to all affected! RT @HuffPostGreen: As death toll rises Joplin tornado now deadliest since 1950 http://huff.to/l9SyRT, 
1991,Informative (Indirect),Big tornado hits Oklahoma City at rush hour http://bit.ly/jR9aC1, 
1992,Informative (Direct or Indirect),How sad. I can't imagine losing my home and everything. Watching live OK tornado coverage: http://www.kirotv.com/video/28009842/index.html, 
1993,Informative (Indirect),Joplin Missouri where at least 124 died Sunday under #tornado watch http://on.cnn.com/k1ZN2b, 
1994,Informative (Direct or Indirect),Take shelter the tornado just hit frisco/plano area!!, 
1995,Informative (Direct),This weather is crazy now tornado watch, 
1996,Informative (Direct or Indirect),Multiple #tornado reports in Tarrant County. Heading at D/FW airport. #txwx #severe, 
1997,Personal only,Survived the tornado in the band room with my friends. Went to Chick-Fil-A. Had rehearsal. Talked for an hour. Here I am now. #RaptureRecap, 
1998,Personal only,Relatives Lose Everything in Tornado, 
1999,Personal only,Relatives Lose Everything in Tornado, 
2000,Other,Tornado deathstorm 2011 was such a dud, 
2001,Informative (Indirect),Weather service issues #tornado watch for western Missouri extreme eastern Kansas http://on.cnn.com/k1ZN2b, 
2002,Informative (Direct or Indirect),Praying 4 no damage RT @KansasAgland: Tornado warning in Barton County- weather all around central Kansas - why can't we get a nice shower?, 
2003,Informative (Direct or Indirect),Just in: Tornado watch issued for eastern Kansas and western Missouri. Area includes #Joplin Missou ..., 
2004,Personal only,Please #pray for 3 yr old child still missing from Oklahoma tornado (didn't get location)., 
2005,Informative (Direct or Indirect),Sooo We Gt A Tornado Watch Here... #Ugh I Hate Dhis !, 
2006,Informative (Direct),I'm scared!!!!! Tornado!!!!, 
2007,Informative (Indirect),Tornado Watch issued May 24 at 7:33PM CDT expiring May 24 at 10:00PM CDT by NWS Norman-Oklahoma City... http://bit.ly/iEqPjm  #okwx, 
2008,Informative (Direct or Indirect),the local tornado warning has been upgraded to a tornado watch.. GASP!, 
2009,Informative (Direct or Indirect),The storm is stretching from texas to kansas, 
2010,Informative (Direct),Word is that our semi driver that was hit by the tornado near Shawnee has minor injuries #okwx, 
2011,Informative (Direct or Indirect),gainseville texas tornado warning, 
2012,Personal only,Our parents have decided that @nicole_lexus's boots are good tornado shoes hahaha, 
2013,Personal only,please pray for the tornado victims.. PLEASE.., 
2014,Informative (Direct),@RobAlgoziniJr shit yea TX now! It's ugly over here and we are far from the tornado area but have storm watch, 
2015,Personal only,Libs should be helping & supporting the tornado vicims not exploiting them for their political views regarding global warming., 
2016,Personal only,Yea now we're under a tornado warning. This is exhausting!, 
2017,Other,@LasBarVondysTx QUE DIOS TE BENDIGA! QUE MIEDO ES EN CERIO QUE VA A HABER UN TORNADO?, 
2018,Informative (Direct or Indirect),Tornado Warning  ahhhhhh, 
2019,Informative (Direct or Indirect),First Baptist Church in Piedmont opening up as shelter...please help get word out! #okwx, 
2020,Informative (Direct),Apparently drove through the rain wrapped tornado while heading home through Noble. #ihateoklahomaweather. Thank you hail. NOT., 
2021,Informative (Direct or Indirect),Tornado warning just issued., 
2022,Personal only,Be safe #Oklahoma playing dodge that tornado. #severeweather, 
2023,Personal only,Got to use our basement for the second time since 2007... Just about done riding out the tornado warning., 
2024,Personal only,please pray for the tornado victims.. PLEASE.., 
2025,Personal only,I wonder if kc is under a tornado watch?  Have not heard anything., 
2026,Personal only,A multi vortex tornado is scarier than a tsunami, 
2027,Informative (Direct or Indirect),Cantor is holding tornado victims HOSTAGE to his #failed budget!  NO AID WITHOUT PASSING HIS PLAN #mizzou #joplin #GO ..., 
2028,Personal only,Had several adult beverages during/after the tornado..., 
2029,Informative (Indirect),Here we go again...A Tornado Watch is in effect until 3:00 am for Buchanan Caldwell Clinton Platte., 
2030,Personal only,@blakeshelton I was streaming online and viewing the damage. So hard to watch. Saw a lil girl walking around tornado damaged home :(., 
2031,Informative (Indirect),Death toll rises to 118 as Missouri braces for more bad weather: The death toll from the tornado that burst thro... http://bit.ly/kLk9Mx, 
2032,Personal only,Hey remember that time that tornado hit independence and destroyed the Arby's?, 
2033,Informative (Direct or Indirect),@ottguy Holy shit the tornado that hit Joplin was officially classified as an F5 w sustained winds of 340 km/h. :O, 
2034,Informative (Indirect),tornado watch #amazing, 
2035,Personal only,@kfor absolutely fantastic coverage with your #tornado coverage. watching from central massachusetts. my prayers are with you, 
2036,Informative (Direct),Waiting and watching for tornados and hail... tornado near fort worth..eek!!!!, 
2037,Informative (Direct),Just took cover...damn Tornado landed about 15 minutes ago. Sirens and alarms are going off like crazy., 
2038,Informative (Direct or Indirect),Tulsa area start taking precautions now. The storm is closing in on the metro area. Stay safe. Don't take chances. #okwx, 
2039,Informative (Direct),TORNADO WARNING!!!!!, 
2040,Personal only,@katiekathleen tornado face indeed!, 
2041,Personal only,@chrisjaber you guys are just jealous of our cookies and our comfy tornado shelter., 
2042,Other,any HAM operators in #OK Tweeps let find them and get the word out #Anonymous #Anonymiss #OKwx #severwx, 
2043,Informative (Direct or Indirect),We are under a tornado watch until 1:23am., 
2044,Personal only,@nancyj87 I give up altogether trying to figure this out. At one point during the tornado warning the SUN came out! hahah I dunno anymore.., 
2045,Personal only,please pray for the tornado victims.. PLEASE.., 
2046,Informative (Direct),Oh sh!t #Tornado watch here in lake Dallas the siren just came on, 
2047,Personal only,Have you ever noticed that those tornado warnings always come on during the show and never during the commercials?, 
2048,Informative (Direct or Indirect),Tornado Warning.!!!, 
2049,Personal only,please pray for the tornado victims.. PLEASE.., 
2050,Informative (Direct or Indirect),@SlicedSmoke14 It get worse... Dallas and Forth Worth is about to be under tornado warning., 
2051,Personal only,@ShrenAKO Wait...are you still on a tornado watch?!, 
2052,Other,EE.UU.: Al menos 122 muertos y 750 heridos por tornado en Misuri http://ow.ly/52g6Y, 
2053,Personal only,Watching American Idol and hoping that tornado warned storms miss us, 
2054,Informative (Direct or Indirect),Tornado Warning !!!! Denton People take cover tho real t its suppose to come through yall soon! God Bless ! Pray to Moloch ASAP !, 
2055,Informative (Direct or Indirect),tornado on the grond in ft worth and the stop covering it to show glee?! I miss Gary England... And his drinking game, 
2056,Informative (Indirect),124 Dead as More Tornadoes Head to Joplin Mo.: The death toll from the monster tornado that struck Joplin Mo.... http://bit.ly/kNbONO, 
2057,Informative (Direct or Indirect),@spreadingJOY yes ..we are in tornado season!! big line of storms still heading east thru the state, 
2058,Informative (Direct or Indirect),118 people died during the Tornado in Missouri....so sad :(, 
2059,Personal only,I peed two time in the back of the bus hehehe during a tornado watcj/warning, 
2060,Informative (Direct or Indirect),#Joplin #severe threat accelerated!    2 hours from now.   RIGHT NOW Damaging winds and hail appear to be biggest threat., 
2061,Informative (Direct or Indirect),tornado warning denton!, 
2062,Informative (Direct),Damn dat tornado was fckn huge as shit!, 
2063,Informative (Direct),"Tornado Watch issued for my area through 3am. As bad as tornadoes have been lately I'm glad to have a weatheer radio & tornado """"safe spot"""".", 
2064,Personal only,Glad that my kids and I are safe. Sad cause I will not be able 2 finish my mix show 2night #okwx, 
2065,Personal only,Pray for everyone that got hit by tornado :(, 
2066,Personal only,God bless us all here in Ardmore a tornado is coming :'( I love u all!, 
2067,Informative (Direct),@wfaaweather Tornado sirens going off in Bedford. Why is Dancing with the stars on???, 
2068,Personal only,Let us offer a short prayer for those peeps hit by the tornado in Oklahoma. God bless them., 
2069,Informative (Direct),Tornado showing up on myownradar at www.wfaa.com/myownradar.  Click on INTENSE ROTATION. -sm, 
2070,Personal only,Tornado warnings everywhere #whatthemess, 
2071,Informative (Indirect),@andersoncooper Stay safe! Just saw terrifying freaky footage of a telephone pole going over a car in OK today during a tornado!, 
2072,Personal only,Well they finally put us under a tornado warning....rotation n progress..God protect us all!, 
2073,Informative (Direct or Indirect),Tornado Warning......, 
2074,Informative (Direct or Indirect),TORNADO WARNING JUST ISSUED, 
2075,Informative (Indirect),Maaan Denton is on ANOTHER tornado watch/warning. My first choice school of OU got hit apparently. #SoSlightlyBetterIGuess, 
2076,Informative (Direct or Indirect),tornado sirens going off in Grapevine Texas., 
2077,Informative (Direct),under tornado and bad weather..please pray for manhattan!, 
2078,Personal only,Man that tornado was crazy..., 
2079,Personal only,Tornado.    0__o, 
2080,Personal only,@trniii Been great. Are you on Tornado watch?, 
2081,Personal only,tornado warning. cool., 
2082,Personal only,"Only in Oklahoma can the words ""class F5 tornado"" prompt people to go walk outside to see it for themselves. Grr and ar ...", 
2083,Informative (Direct or Indirect),Tornado warning..., 
2084,Informative (Direct or Indirect),Tornado warning..., 
2085,Informative (Direct),Soooo chorus concert stops in the middle for tornado warning; sitting in the school, 
2086,Personal only,The team was in a tornado shelter!!! I missed that. (@ Renaissance Oklahoma City Convention Center) http://4sq.com/jPdwlu, 
2087,Informative (Indirect),Tornado warning for a county 30 minutes from here. I'll keep you all posted. *sigh*, 
2088,Informative (Direct or Indirect),YIKES!!  Tornado watch with softball and golfball size hail may be on the way., 
2089,Personal only,Possible tornado! Mom is flipping shit lol, 
2090,Personal only,please pray for the tornado victims.. PLEASE.., 
2091,Personal only,We are officially on Tornado warning here!!! Pray for us!! Check in when its over!!! Recon and @FoxieNews OUT!!!!, 
2092,Informative (Direct or Indirect),Tornado warning., 
2093,Informative (Direct),Fuck you tornado sirens...shit is making a long meeting longer, 
2094,Informative (Direct or Indirect),New tornado warning for Northern Parker County until 7:45., 
2095,Informative (Direct),Tornado warnings just sounded. #Godissovereign, 
2096,Informative (Indirect),(Blippitt News) Piedmont Oklahoma Tornado Caught on Film (VIDEO) http://bit.ly/iwPxD2, 
2097,Informative (Direct or Indirect),Let's take it easy on these tornado jokes guys 7 confirmed dead so far., 
2098,Personal only,I missed the big tornado by 3 minutes and less than a mile, 
2099,Personal only,Hey i hope all my ppl in north Tarrant County are taking shelter... rain wrapped tornado on the ground, 
2100,Personal only,Hey i hope all my ppl in north Tarrant County are taking shelter... rain wrapped tornado on the ground, 
2101,Personal only,Be safe! RT @ReconChesty: We are officially on Tornado warning here!!! Pray for us!! Check in when its over!!! Recon and @FoxieNews OUT!!!!, 
2102,Informative (Direct),Showing possible #tornado near Madill #Oklahoma. Storm has very strong rotation. Seek shelter ENE of this cell! #OKWX  ..., 
2103,Personal only,Tornado #12?, 
2104,Personal only,F*** A Tornado Team We Still Got Pick Up At 10 Tonight, 
2105,Informative (Indirect),Tornado in Denton County TX now reported to be near Lantana. Warning info and radar:... http://fb.me ..., 
2106,Informative (Direct or Indirect),These tornado stories are sad :-(, 
2107,Informative (Direct or Indirect),Tornado Warning, 
2108,Personal only,Speaking of #besafe ... Just got an email from a reader in the tornado path ..., 
2109,Informative (Indirect),Tornado Kills 89 in Missouri. http://t.co/tdjuiFh, 
2110,Personal only,tornado has touchdown damn, 
2111,Other,R-T if you under a thunderstorm / tornado watch!, 
2112,Personal only,Nasty nasty storms comin' in.  Tornado Watches are goin' up...eek, 
2113,Personal only,Tornado Warnings.. Just Great !, 
2114,Personal only,Those poor people in Joplin another tornado watch. What is going on here?, 
2115,Informative (Direct),Outside with the entire apt complex sky watching and listening to tornado sirens. Never felt closer to my neighbors!, 
2116,Informative (Indirect),The stories of parents looking for kids coming out of the #joplintornado are absolutely gut wrenching, 
2117,Informative (Indirect),#Tornado that killed 122 in Joplin Missouri was EF-5 with top winds of 200+ mph http://on.cnn.com/meJujw, 
2118,Informative (Direct or Indirect),Tornado near Moore and Norman OK has lifted for now. Tornado down NE of Washington OK, 
2119,Informative (Direct),Absolutely no wind in Midtown Tulsa right now. Terrifying. Waiting for the spin to hit us just south of Mannford/Entering SS. #okwx, 
2120,Personal only,These tornado warnings here gon get on my nerves., 
2121,Personal only,maxi-tornado, 
2122,Personal only,#pray  #joplin  #oklahoma  and for my missing friend, 
2123,Informative (Direct or Indirect),More Tornado's for the Midwest, 
2124,Informative (Indirect),Tornado reported 2 miles west of Azle TX.  This is to the northwest of Ft. Worth.  Radar warning info: http://wxch.nl ..., 
2125,Informative (Direct or Indirect),@iamjaykeys we under a tornado warning, 
2126,Personal only,@CurlyAndLovely: @ShrenAKO Wait...are you still on a tornado watch?!&lt;&lt; Nope, 
2127,Personal only,Tornado watch until 3am.  Of course we just got our new garage door today.  *sigh*, 
2128,Personal only,Sweet tornado #ohwait, 
2129,Informative (Direct or Indirect),And the tornado watch starts..., 
2130,Other,Ohaha engga aib kali caaaal RT @SarahMulyanti: @dhiravindy itu yg di tornado........, 
2131,Personal only,If a tornado comes to columbia tonight I will have suffered thru two natural disasters at work., 
2132,Informative (Direct),Sitting in the locker room at the Y waiting out a tornado warning and here I am without my 2m HT. Dang!, 
2133,Personal only,So how have these tornados gotten so bad? It's it freak weather conditions? Is it in the area known as tornado ally?, 
2134,Informative (Direct),TORNADO COMING!! GOING TO THE CELLAR!!!!, 
2135,Informative (Direct),Here we go again...A Tornado Watch is in effect until 3:00 am for Buchanan Caldwell Clinton Platte., 
2136,Informative (Direct or Indirect),Wind is picking up! Constant thunder and lightening! Tornado touched down in Tarrant county., 
2137,Informative (Direct or Indirect),death tornado swarm sure is fizzling out, 
2138,Informative (Direct or Indirect),@andersoncooper is the real deal...he's literally retreating from a tornado while tweeting about it the entire time..., 
2139,Informative (Direct),Monsanto head office... RT @d_igital_punk: @MaxGraham interesting Max. Do u have a place/person in mind you'd like to 'To ..., 
2140,Other,Monsanto head office... RT @d_igital_punk: @MaxGraham interesting Max. Do u have a place/person in mind you'd like to 'To ..., 
2141,Informative (Direct),Tornado alert!!!!!! :(, 
2142,Informative (Direct),First Baptist Church in Piedmont opening up as shelter...please help get word out! #okwx, 
2143,Informative (Direct or Indirect),Triage: Once victims have been given a priority get Priority 3 walking wounded to care for each other  #1stAid4 #okw ..., 
2144,Personal only,So sorry for tornado victims...heart goes out., 
