,the_author_of_the_tweet_seems_to_be_an_eye_witness_of_the_event,tweet_no_rt,user
1600,,@DanielSantanaTV ESSE FURACAO SANDY KI PASSOU POR NEW JERSEYPODERIA DAR UMA PASSADINHA NA DIRETORIA DO VILA E FAZER UM LIMPAOH GLÃ­Ã±RIAAA,eddgyn
1601,,"Jajajajaja xD RT @ninosmendez69: Te lo pedimos seÃ­Â±or.. """"@ElPuchi69: Sandy ve a Miraflores""""",ElPuchi69
1602,,If you're stuck at home weathering the Hurricane Sandy disaster this picture should make you feel better. Via... http://t.co/g7pb0RlW,OutLoud_Talent
1603,,#Sandy tried but the superstorm couldn't take the @WWE Live Chat down. Thanks for sticking with us last night!,a_dree_en
1604,,#1dinspain Haha!!! * this is sooo crazy! http://t.co/DSY2tHMm,DeanaSoto11
1605,,.@ChuckTodd from the WH Briefing Room breaks down the lasting political implications of #sandy - thru election day http://t.co/HRkC7to5,Wolf7011
1606,,USNORTHCOM roll-up: U.S. Northern CommandÃ¤Ã³Â»s Support to Hurricane Sandy http://t.co/051CRhHu,jfeulner
1607,,My heart goes out to everyone affected by Hurricane Sandy I hope everyone on the East Coast stays safe,isabelledipple
1608,True,Photo: A first responder rescues a #dog from a #NYC storm drain. Get your #Sandy news at http://t.co/w0dJpvR2 http://t.co/objNUW22,VVsofia
1609,,Tras Ã¤Ã³Ã¬SandyÃ¤Ã³Â y todo NY tendrÃ­Ã§ su maratÃ­_n este domingo: A pesar del paso de la tormenta Ã¤Ã³Ã¬SandyÃ¤Ã³Â los organizador... http://t.co/DZv0ufNX,manoloFT1
1610,,Did Wire Services Big Media Overlook Homeless in Sandy Photo Coverage? http://t.co/s4LuIyB5 @Demotix #photojournalism #TwoAmericas,3eightyphoto
1611,,Sandy's economic hit may be softened by cleanup rebuild and insurance payments http://t.co/hlrVQt5o,itspolite
1612,,Worst Disaster in Subway's History M.T.A. Chief Says http://t.co/0Dyxiw6l #Sandy #NYC,ALadyBirdTweets
1613,,Sandy was more of disaster than you think people.. It really fucked shit up in nyc and jersey,megsterr_m
1614,,Garrett County seeing #snow accumulating now. Just the beginning! #blizzard #Sandy http://t.co/kCRZs96u,BrianKGrim
1615,,I hope noones homes were destroyed from Sandy. Stay safe guys.,Gingerr_Barbiee
1616,,"New embarassing details about Romney ""relief rally."" His camp bought $5k of food for people to Ã¤Ã³Ã¬donateÃ¤Ã³Â back to him http://t.co/6fOG15GU",budhalite
1617,,Looking through pics of Hurricane Sandy and holy shit weather is crazy definitely couldn't imagine seeing any of that in real life,TJGilmour
1618,True,Wow hurricane Sandy on her way through New York http://t.co/XGNMxNjQ,PrinsessMakeup
1619,,Wonderful heroes who kept babies alive as were being evacuated from NYU Medical Centre. I love each & every 1! #Sandy http://t.co/uEVl5Nm1,VeraSweeney
1620,True,Fucking Sandy #couldbeworse http://t.co/WAlXUHE2,dana_roe
1621,,I like how Obama left Florida (where #Sandy isn't hitting) and went back to Washington D.C to show his support and concern!! #TrueLeader,MissPrissy22
1622,,Meanwhile days later Sandy's toll continues to climb in Haiti where there are very few cameras but much misery http://t.co/xO2vi326,naufraga
1623,,Places in #Manhattan with #free #WiFi and power if you need to connect/recharge @ http://t.co/4gRJ8h52 #Sandy #NYC,mmbcnyc
1624,,"The October Surprise no one saw coming: """"@WWJ950: Should the election take a back seat to #Sandy for now? http://t.co/gCkM1HNS"""" #Obamney",mouselink
1625,,LMFAO YOU THINK I'M BAD? SEE WHAT HAPPENS IF MITT ROMNEY GETS ELECTED. #nyc #Sandy,katlynguerin
1626,,This crane is really about to collapse though... Scary!! #NYC #CNN #Sandy,ChillinInMySkin
1627,True,Getting worse down by Verrazano #sandy http://t.co/VObkp6YR,abrogdon1
1628,True,My block survived #sandy Ã¤Ã¬_ num_one_always_one lady_green_eyes4 http://t.co/9IVQDT5O,AngieluvsNY23
1629,,Crane collapses at One57 as hurricane winds pick up speed: As Hurricane Sandy barrels down on Ne... http://t.co/Z8FvjbTm #NYCRealEstate,TheKhaDeeVa
1630,,At least 10 people died in NYC as result of storm #Sandy - Mayor Bloomberg. LIVE UPDATES http://t.co/RFbLL7kn,aronAF1
1631,,"#VIrginia Gov. @BobMcDonnell - @BarackObama's response to #Sandy ""outstanding"" ""wonderful"" ""incredibly fast"" ""we're very grateful"" #p2",bjork55
1632,,Statue Of Liberty In Hurricane Sandy Photo Goes Viral In NYC Is It Real Or Fake? http://t.co/OebhkUu7,Geek_E
1633,,_Ã´Ã–Â‰ DEATH. RT @StefanSaxon: feel the wind we'll never die. RT @JessieDior Palms rise to the universe as we see hurricane sandy.,itsvladdspears
1634,,Praying for everyone who is suffering from hurricane sandy. I can't even imagine being in NYC or nj right now. #heartbreaking,karlymarshall
1635,True,Sandy is a biatch and I love it.,AllyEardley
1636,,I wonder what Sandy going bring tonight,DraysWay20
1637,,HURRICANE SANDY Y U NO BLOW MY SCHOOL AWAY?,_L_W
1638,,No rat exodus in NYC #Sandy http://t.co/sZw8IAHq,RichardEMayo
1639,,Photo: President Obama receives an update on the ongoing response to Hurricane #Sandy in the Situation Room: http://t.co/JEYyEwSJ,ozandursun
1640,,Schools closed flights cancelled as Sandy's vicious winds and rain hits ... - National Post: National PostSchoo... http://t.co/V2xuE94q,sigosemdesistir
1641,,Funny that no one seems to mention that Hurricane Sandy razed Haiti on its way to New York killing 54 and leaving over 200000 homeless.,uRoojis
1642,,Ã¤Ã³Ã¬@Ty_Hughes12: your obviously not that tough Sandy cause I still have football #AlbrightÃ¤Ã³Â Your kidding?! How is it there??,_TaylorHughes_
1643,,@earthinstitute: Is this what #climatechange will look like for #NYC? Map: http://t.co/P2Xm2pDJ #Sandy #flood http://t.co/ZknYkpOr,Jaxsays
1644,,#Ã¸_Ã¸Ã‚ God this is hot! http://t.co/ehy0iykq,TammyHayden12
1645,,Se em NYC Ã­Â© furacÃ­Â£o Sandy aqui no Brasil Ã­Â© furacÃ­Â£o 2000,SongforJB
1646,,Dear UK Media Sandy killed over 60 in Haiti and left 200k homeless before it hit the USA. I guess you can't have known.,stewartfoster
1647,,@hannahsitz here's an article I found on using Sandy to boost online media brands http://t.co/960jTxsP do you think this is ethical? #j608ku,kris_tink
1648,,"#Corbett says PA ""dodged a bullet"" with #sandy top priority getting power back to 1.3m.",PhillyInquirer
1649,,.@Uber doing the right thing: Uber Kills Surge Pricing for NYC Customers Drivers Paid 2X Rate to Meet #Sandy Demand. http://t.co/hbm6WSrP,bonafidel
1650,,@BrentB0SS @mariobellusci dont complain when sandy bends ur naked asses is over and gives it to yah..,J_Swope_8
1651,,Why Sandy's storm surge will pack an unusually strong punch in NYC http://t.co/nje2mgFs by @ScottJ_ars,jawaharm
1652,,Take That Sandy! David Letterman & Jimmy Fallon Tape Talk Shows In NYC Ã¤Ã³Ã± With No Audience! http://t.co/jdVLbNKr #hollywood,hollywoodtoday
1653,,Continuing live Hurricane #Sandy coverage from WPVI-TV coverage in Philadelphia PA http://t.co/2E63hJpM,stormchaser4850
1654,,image exclusive de New York... plus fort que BFMTV. incroyable! #sandy http://t.co/moScE3Fj,Leli_Rayyy
1655,,I really don't care about this sandy bullshit _Ã´Ã–Ã,_122O11
1656,,hurricane irene and sandy comparison OMFG WERE GONNA DIE http://t.co/AbasO2DD,hereaniebrooksx
1657,,New Jersey sees storm surge ahead of Sandy: Oct. 29 - New Jersey residents evacuate as the storm surge increases... http://t.co/3uO62POK,jessica88985422
1658,,My pal @reshingbull sent me this pic from NYC any other tw'eeps have pics of Sandy? http://t.co/L5IMoE28,tyramacfarlane_
1659,,Fer crissake. Where's Superman when you need him???? #Sandy #One57 #danglingcrane,Thomg57
1660,True,@Suchet_Mitter: Got the police/fire/ambulance radio on. Listening to whats happening around town. Bring it Sandy you bitch!,Suchet_Mitter
1661,,@CNNValencia @MikeBloomberg #Sandy was bad no doubt but what if it had been a Cat 5 hitting NYC?,AndrewnicholsPR
1662,,To those in Sandy's path - stay indoors and stay safe! We are battening down the hatches as well! #Sandy #NYC,InfinityInfo
1663,,Praying for everybody in Sandy's path. I hope she breaks down before she breaks too many of us.,AileenMcEleney
1664,,Double Rainbow Shines in NYC After Superstorm Sandy: And after the storm a rainbow. A double rainbow actually. Kurt Wilberding a...,Meryl_Raleigh
1665,True,Delivering mail in a hurricane. #Sandy http://t.co/5FJIUtV4,september188
1666,,"Mayor Bloomberg calls it storm ""devastating"" and ""perhaps worst"" in NYC history. #Sandy",Lspaventa
1667,True,The tree missed my dude car by a inch smh #NYC #queens #Sandy #aftermath http://t.co/E8BkPpQD,ThatPYT
1668,,Stop posting fake pictures of hurricane sandy and use real ones like this.. http://t.co/7ynAZEMp,CrazyTattooMan_
1669,,http://t.co/7VIu2cnP - http://t.co/Eo2LeqYQ #NYC,stefanoa99
1670,,West Virginia in blizzard conditions brought on by Hurricane #Sandy | http://t.co/b4EelJDl,TIME
1671,,Hindu Hurricane Sandy forces Jet AI to ground flights: With Hurricane Sandy set to hit the United States east c... http://t.co/mMxTxsNV,SandeepDreamIAS
1672,,Eerie video of flooded NYC streets just as the blackout hits http://t.co/DaFOfKrF #sandy,SteveSagarra
1673,,HuracÃ­Ã§n Sandy: @BarackObama le pidiÃ­_ a la poblaciÃ­_n que obedezca las Ã­_rdenes de evacuaciÃ­_n por el huracÃ­Ã§n Sandy.... http://t.co/ejHQoMH4,GestionemosLA
1674,,@SuckMyMentality Dasha  we making a move to kids house watch  well make it threw sandy,AALilGummY
1675,,Ã¤Ã³Ã¬@NewsChannel9: Photo of flooded LaGuardia Airport from @JetBlue #Sandy http://t.co/2VsYw9oUÃ¤Ã³Â @MirandaMajor did you see this?!?,bookgirl1978
1676,True,I'm ready for ya sandy. Got my blanket phones chargin _Ã´Ã–__Ã´Ã¯Â http://t.co/KsWoFeLQ,awhitt9
1677,,FEMA preparing for Hurricane Sandy to disrupt elections http://t.co/OfoI8HJs,BlackListedNews
1678,,while everyones all caught up with sandy and tiffy b's new video i will be learning how to cook methamphetamine a.k.a. meth #breakingbad,SeanersConklin
1679,,plain white t's: hey there delilah what's it like in new york city delilah: HURRICANE SANDY IS DESTROYING EVERYTHING WUT DO U THINK,alessmarinucci
1680,True,Ã¤Ã³Ã¬@AliMurphh: My entire childhood was destroyed in one night.Ã¤Ã³Â #Sandy,JabroniMurph
1681,,5pm #Sandy advisory map posted: http://t.co/n8rvriTp,hajimasood1
1682,,@6abc here's a pic of the pier in New Jersey as of a couple minutes ago http://t.co/GhTP7hhV #sandy,Bsmoothsicles
1683,True,My day consists on listening to music #sandy so I'm stuck in the house,IAmMe_12
1684,,_Ã´Ã–Â‹_Ã´Ã–Â‹_Ã´Ã–Â‹ RT @BlowthisL: Hurricane Sandy ?? Is that a stripper n shit ? Lmao,laliecaKes
1685,,This could be helpful if your home was damaged by Sandy https://t.co/AfAgKfVq,stephanieespo
1686,,Si sandy artis ko naik angkot -_-,fxsmoon
1687,,Is YOUR school closed tomorrow? Bookmark this page it's constantly updating! http://t.co/x0mGXv5N #ROC #Sandy,98PXYRochester
1688,,Snooki is a lot like Hurricane #Sandy. They're both heading to Jersey Shore with intentions to blow everyone within a 50 miles radius.,_docLOCK
1689,,So hows the weather? Sandy.. haha #LOL #funnycomedyjokes,stellecat
1690,,NYC ALERT: All pets are accepted on the subway taxi and trains during evacuation. #Sandy #SandyPets,MegSwick
1691,,I was told some sporadic incidents of looting last night but nothing significant @linds_1016. #acpress #Sandy,Emariem78
1692,,Ã¤Ã³Ã¬@YourAnonNews: #NYC #Sandy - Firefighter on scanner just confirmed fuel leak contamination. Drink bottled water. Boiling will not help.Ã¤Ã³Â,jeffsevens
1693,True,Most of Atlantic City is underwater and worst is yet to come. 90 MPH winds expected between 5 & 6 p.m. http://t.co/xAoyf8Tq,seksek
1694,True,hurricane sandy is a cunt. im drenched. and i couldnt breathe against the wind #SandyTheSlut,alysajeannottte
1695,,#Sandy has impacted the national @RedCross blood supply. Thousands of donors needed to help patients. http://t.co/hJDrL55S,molliekay
1696,,"Filed under ""you can't make this stuff up"" ... 'Heckuva job Brownie' pans Obama 's Sandy response http://t.co/KEUZ8Li3 via @theGrio",EdEspinoza
1697,,33 people died. RT @PresChoice WhatÃ¤Ã³Â»s scarier? Hurricane #Sandy or a beverage with marshmallow eyeballs? #Halloween http://t.co/VWbYKgan,HenDunn
1698,,Ok Sandy fucking up the money though! #NoWorkFlow,TheKoolestNigga
1699,,Whole lab practical cancelled cause of sandy. #thatsmygirl,nicklaraia
1700,,The big federal government some say is needed to deal with big problems like Sandy went home early in DC yesterday & is mostly closed today.,DudeForRomney
1701,,While parts of NYC under mandatory evacuation order not all are leaving #YNNSandy #Sandy http://t.co/k8Etbs2r,YNNAlbany
1702,,Several Bridges Set to Close Because of #HurricaneSandy #Sandy #NYC http://t.co/3BnewQxJ,Ericdravyn
1703,,6 alarm NYC fire during Sandy destroyed 80+ homes in Breezy Point neighborhood in Queens. Photos &gt; http://t.co/vKHVBI3Y,WWLP22News
1704,,Thanks Disney and Lucasfilms for giving us some good news after #Sandy'sdestruction Disney buys Lucasfilm http://t.co/pERZQRRe,amesbury55
1705,,all my thoughts and prayers to those families who's family member is dead #Sandy,zane95fin
1706,True,Our thoughts are with all those impacted by #Sandy. Support Red Cross relief efforts. Text REDCROSS to 90999 or go to http://t.co/1qx6JEY3,DemsRtheRacists
1707,,@NBCPhiladelphia beach haven gardens #Sandy http://t.co/sVNNIWk3,Kaymee
1708,True,Still hanging in there. No power. Reading lots but still BOOORRREEDDD. Did not anticipate whole freaking Island was gonna be out! #Sandy,evening_shadow
1709,,Obama Cancelled His Campaign in a Close Election to Tend to Hurricane Sandy. Romney Wants to Shut Down FEMA. Choose Wisely America. #p2,izzyd24
1710,,#dramalines So how far would you take your romantic endeavors? http://t.co/lRMYTcU2,KathyMo82302023
1711,,Seriously sandy is showing her ass... Everyone be careful out there!!!,Adime_truly
1712,,I got ths chick that suck my dick lk a candy cane/ That whore was blowing Buls before Hurricane Sandy came/ I get t... http://t.co/8jpUYvDW,xDiegox_
1713,,Oh god. Sandy really hit me. So hard that Halloween is actually cancelled around my area.,Kristomaster13
1714,,The hurricane Sandy weather forecast. http://t.co/8HKUOHVC,LilMissSilly95
1715,,Ã¤Ã³Ã¬Essentially unless you own a submarine there is no way youÃ¤Ã³Â»re getting out of #NYC at this point.Ã¤Ã³Â #Sandy,barrycunningham
1716,,My condolences to the families affected by the hurricaneSandy .Im sure the US Govt. will dowhtever requiredto ascertain their well being,SinghRahul11
1717,,Jimmy Kimmel Cancels Monday Brooklyn Show Due to Hurricane Sandy: The late night host has pulled the plug on the... http://t.co/UI6HSxXJ,MightStingABit
1718,,Market: Natural gas little changed as demand concerns remain in wake of Sandy http://t.co/80kM32AV,myfxcentral
1719,,Hospitals Affected by the Hurricane http://t.co/UMFyFZpP,mlroam
1720,,@hlane Here's another link - http://t.co/DCFT98zl or http://t.co/avTHNHgn on Facebook - North Shore Animal League.,marketingjava
1721,,CIAC Fall tournaments schedule slammed by Sandy http://t.co/MStN2mW9 #Darien,DarienTimes
1722,,My dog is confused lol #Sandy #nopower,tor_ashley
1723,,Hurricane Sandy drowns coverage of White House scandals | The Daily Caller: http://t.co/obAmMOOY,RiskRank
1724,True,#laguardia #lga flooded. Jet bridge is around 5 feet to the bottom where you enter the plane. @weatherchannel #sandy http://t.co/WSa2L9Ra,Waechter99
1725,,Baby cousins in NYC hiding from Sandy lol #cuteness. http://t.co/2DheFEnk,JOY_NtheMorning
1726,,#rappersbetterthansouljaboy At the very least it now all is practical! http://t.co/FEYPyJhh,JuliaGreene18
1727,,2 different reactions 2 #sandy: Fuck it lets have a beer the other in Scuba Gear #gottaluvit Thxs 4sending @TJ22Hatter http://t.co/jcSRWV3y,WYanish
1728,,"@BBC_WHYS: Myles Allen in Oxford: It's still not clear from science that climate change will make events like #Sandy worse & worse"""" #whys""""",Karanimutonga
1729,,Hurricanes Are Making New Yorkers Lonely Sandy http://t.co/WyEseG9J,ceecee_dean
1730,,Fake photos of Hurricane Sandy | Photo Gallery - Yahoo! News Canada http://t.co/r7FIZC9d via @yahoocanadanews,kefalograviera
1731,,BREAKING: George Washington & Verrazano Bridges closing at 7PM this evening #sandy #hurricane,The_Pro
1732,,#NYC Ã­Ã¦ l'instant. #Sandy http://t.co/AZeqLgwe,LaMissCoco1808
1733,,Buenos dÃ­_as a todos menos al huracÃ­Ã§n Sandy ya podrÃ­_a haber pasado por aquÃ­_ y haberse llevado a unos cuantos chorizos. Gobierno de EspaÃ­Â±a.,Mary_LouBL
1734,,They wanna know how much money per day NYC will lose bc of #sandy?? WTF? How about saving lives first then worry about a Wall St bailout,cowpim
1735,,"@SonicHomeboy It's a """"Sandy"""" day out.",HartKnight
1736,,@emeequis: Venezuela envÃ­_a mÃ­Ã§s ayuda humanitaria a HaitÃ­_ tras el paso de Sandy http://t.co/xraMvHsO #MisionBolivariana #AyudaHaiti,habacugarduno
1737,,Sandy not stoppin me brova and sis #SmackBoyz #Finesse,GoGo_Headd
1738,True,It's going to be a long day at work...starting on the road to recovery after #Sandy.,smscott320
1739,,If you're going to be stranded in NYC no better place than #BoweryHotel #Gemma @HowardAirey #sandy,shopbasquiat
1740,True,@tammy_skipper Yes! We're used to severe weather in MN but we've never been in the middle of a #frankenstorm Thanks for the prayers! #Sandy,TraciTakesTea
1741,,Also Robbins Reef lighthouse in NY Harbor gusted to 72mph within the last hour. http://t.co/YyzVqjER #Sandy,WSJweather
1742,,Every ReTweet this gets .20C will be donated to the Red Cross 2 help those effected by Hurricane Sandy. #BelieberFamily http://t.co/n3Blz2tH,OneDirectionAUT
1743,,subway buses commuter rails shut down #nyc #SANDY,Spankss
1744,,Hope Sandy hits pittsburgh real hard everyone is welcome at the frat castle #boozinfordays,gimmemoore21
1745,,Les images que nous voyons Ã­Ã¦ la tÃ­Â©lÃ­Â© sur #Sandy font peur... On dirait les mÃ­Ãˆmes que celles dans le film 2012!,TheQueenJesson
1746,,A parking lot full of yellow cabs flooded in Hoboken. #Sandy http://t.co/x2yW0fX2,martekappert
1747,,Sandy is attacking NYC! http://t.co/QbE33CNN via @9GAG,RobinWoding
1748,,Hurricane Sandy Hitting NYC- CHECK THESE PHOTOS OUT (NEW) - OMG! http://t.co/YYE1j2XZ,RatAndPuff
1749,,#Sandy _Ã‹Ã£Ã³__Ã£ÂÃ£Â‰__ ___ÂµÃ£ÂÃ£Â‰Ã£Ã«(((,MIHEEVP
1750,,My thoughts are with those in the path of Hurricane Sandy Stay safe.,TurksBelieber
1751,,I don't think this hurricane Sandy page is funny....,lil_soli
1752,,Get the latest #Sandy #Patch coverage on the #EastCoast from our @Storify http://t.co/UQ9Evb2g,LincolnSILPatch
1753,,Wow --&gt; RT @onelargeprawn: Hurricane Sandy in Photos - In Focus - The Atlantic http://t.co/PMCZAraK,NickdeBruyne
1754,,Man who spread tons of false NYC #Sandy storm info unmasked: http://t.co/UNiO1zJn HT Ã¤Ã³Â@MarkHarrisNYC,mattdexter
1755,,Hurricane Sandy arrived to Haiti A WEEK AGO! 54 dead 200000 homeless (minus the hundred thousand more from 2010) but you hear nothing.,ViridisKnight
1756,,#webcamtoy A minimum of this now almost all makes sense! http://t.co/IjrsiC2t,DiannaBaldwin5
1757,,After #hurricane #Sandy: stay away from disaster areas. Do not sightsee! Obey all curfews & emergency orders which are issued #SandySafety,BrandingWorld
1758,,Hurricane #sandy hits the statue of Liberty ;) http://t.co/MfKhH4cX,tomdearie
1759,True,@NewYorkPost: New York City never sleeps.... #hurricance #sandy #nyc http://t.co/B9BiLs8x empty streets in the concrete jungle!,ConsumidorPue
1760,True,Unreal photos coming out of NYC. Here's an @AP photo of seawater flooding a construction site at Ground Zero: #Sandy http://t.co/1Hsdhr4o,Squittymouse
1761,True,We have the best community evah! 2 everyone that reached out we are in NYC & got smacked around by Sandy but we are fine & feelin the love,Hybrid_Her
1762,,Can't stop reading #sandy updates - heading to nyc this wk & hoping for safety for all. Otherwise could turn into disaster relief trip...?,bridgetwaits
1763,,Fukushima Diary: [Where's the flood?] Live update from Brooklyn NY under the Ã¤Ã³Ã¬superstormÃ¤Ã³Â Sandy -- http://t.co/NJMUVMnH,phoenixemk
1764,,Eldest Son in NYC finally communicates to Mrs Hanson that he and his friends survived Sandy with the help of beer and candles.,HartHanson
1765,,Due to #MASandy Sen. Brown says he won't participate in fourth and final Senate debate: http://t.co/hWejJZuj,WBUR
1766,,I'm torn between feelings of concern for the folks w/ Sandy along with my love of weather and my utter annoyance w/ the media & the NYC bias,MJR747
1767,,Gov. Cuomo: We need to anticipate more of these extreme weather type situations in the future #Sandy,HuffingtonPost
1768,,Yo fux with me sandy,F_Latifovic
1769,,DIS BITCH WAZ STANDIN OUTSIDE YELLIN SANDY YOU AIN'T SHIT SO I THREW A MOBILE HOME AT DA BITCH. YOLO,paulieb7
1770,,Now #Sandy is the REAL booger.,HannahBandana
1771,,"Oliver Stone: Hurricane Sandy Is ""Punishment"" for Obama and Romney Ignoring Climate Change http://t.co/It0XIOfQ",TEE_witHONEY
1772,,Stay safe everyone! #sandy #hurricane #hurricanesandy #eastcoast #flood #weather #chair #earthquake #newengl http://t.co/d6dkMFUH,patplaysguitar
1773,,Y mientras tanto en Chile algs futbolistas y chiquillos faranduleros sucumben al huracÃ­Ã§n #sandy #sandyboquita,CeballosCarola
1774,,6 Fake #HurricaneSandy Photos You're Sharing on Social Media via Mashable http://t.co/MzLhCNdG,kathleentower
1775,,9 people died in NYC!?!?! Damn yo Sandy got no mercy...,RealChrisMiles
1776,True,Pet owners get help with evacuation http://t.co/sLHfOzFr vÃ­_a @USATODAY #sandypets,ANGELESESCRIG
1777,,White bread is officially done + uploaded! Thank you to Hurricane #Sandy for this productive extra time. http://t.co/rgk4bCkX,carlyayres
1778,,Romney Collects Food for Sandy Victims http://t.co/ZaYbQzTC,YankyNussen
1779,,'Sandy' inunda Nueva York y deja 14 muertos en Estados Unidos http://t.co/ePZig4zv,LinamGonzalez17
1780,True,#SINY and #NYC took a severe beating from #SANDY. Going outside to start the clean up process. Never seen anything like it. #PRAYERS,LUUKSE
1781,,The Red Cross is providing lifesaving services meals & shelter to Hurricane Sandy victims. Text REDCROSS to 90999 to give a $10 donation.,CoffeeGrinder11
1782,,The Mayor will update New Yorkers on #Sandy in about 15 minutes. Stay tuned to http://t.co/TEDML8bl.,MikeG025
1783,,Not here but up north caught it bad RT @IamLegend804: Sandy ain't make too much noise,bigBOOBIEjudi
1784,,#Sandy bout to mess a lot up,DbNOODLEzz
1785,,Sandy it would be nice if you blew my school away...,wiseiswisdom
1786,,.@tnyCloseRead: Not talking climate change now is like not talking gun control after a massacre. http://t.co/3FCy5P4u,JonPaulBradley
1787,,Hurricane Sandy: How To Help The Recovery Effort. One worries about disease. Even in America... http://t.co/lQyvZXw0,ribock
1788,,NFL clubs were just informed trading deadline is being moved from Tues to Thurs 4 pm ET...same 4 start of waivers for vested vets. #sandy,dynastytim
1789,,Tras dejar grave saldo de muerte y destrucciÃ­_n en HaitÃ­_ Cuba Jamaica Bahamas RepÃ­_blica Dominicana y Puerto Rico el huracÃ­Ã§n Sandy ...,WorlCowboy
1790,,"Should I be offended that no one in my family has checked in on me re: #Sandy? More inquiries from twitter friends than my """"real"""" friends!",syleegurl
1791,,5 Fake Hurricane Sandy Photo's You're Sharing on Social Media: http://t.co/eYpobfgS,RuzenkaH
1792,,New storm chasin team: ab josh jenna and my brother. Leggo. Bring it sandy.,JennaMillerr
1793,,If you need a safe place to stay shelter info avail. in #RedCross HurricanApp #Sandy http://t.co/8jIdUqhq,CaglalovesJLo
1794,,have we been punk'd? what the hell sandy....,ieatdoberman
1795,,If it's a legitimate hurricane the female body has ways to try to shut that whole thing down. #Sandy,BeninCitizen
1796,,here comes hurrican sandy! @FoxNews http://t.co/1QvtL9an,Luimitza
1797,True,Working on the #NYC #crane collapse story today if you are one of the ppl who was evacuated from the area send me a tweet! #sandy,LivedThroughIt
1798,,Sandy's eye is hitting union county in 4 hours ecall 911,Cindy_Maganaa
1799,,My thoughts and prayers go out to 53% of you. #MittStormTips #Sandy,morcoswins
1800,,Hope everyone in NYC is ok.. Fuck you Sandy.,dinaragogo
1801,True,"#NYC Water rushing into the subways #Sandy #HurricaneSandy http://t.co/FRggIit0""",waan27
1802,,After #Sandy NYC Village Halloween Parade canceled for the first time in its four-decade history #SandyNYC http://t.co/pcNOIXDo,MGanzman
1803,,Valor: Sandy gera inundaÃ­_Ã­Âµes incÃ­Ãˆndios e destruiÃ­_Ã­Â£o em Nova York - http://t.co/gLnHHMYw,paulojuliomello
1804,,Are you a shelter or rescue group affected by hurricane #Sandy? Please tell us what you need and we'll share it online! #Sandypets,MassRegion4b
1805,,Missa ej att man kan fÃ­_lja NYC skyline live under #Sandy: http://t.co/ocJgrCcG SÃ­Â«hÃ­_r ser dt ut nu.Vackert = skrÃ­_mmande. http://t.co/CMN77Cvc,O_Larsson
1806,,How are people saying that Sandy didn't do anything? To you maybe but try saying that to people at the shore or in NYC and see what happens,danadudz
1807,,Almost more important than Disney Princess Natalie Portman! RT @rejectnation Hurricane Relief: Take a Moment to Donate http://t.co/Gka9LWuD,FakeRobHunter
1808,,Me rn because Sandy: http://t.co/xk7Va3Rn,For_My_Heroes
1809,,Whoa! God bless the East Coast! --Ã¤Ã³Ã¬@cnnbrk: Bloomberg; Storm killed 10 in NYC. CNN U.S. toll from #Sandy at least 21. http://t.co/1PBmUhb0Ã¤Ã³Â,HansenNichols
1810,,Frankenstorm (#Sandy) vista desde el espacio. El litoral linea amarilla a la izquierda la dimensiona:1600 km de largo http://t.co/sXxc6e92,hectorurzua
1811,,Looters Descend In Aftermath Of Hurricane Sandy http://t.co/AVjo8UsN,azureblade7
1812,True,so now my job has no power & I can't work . sandy really fucked wit my money doe _Ã´Â»Âƒ,DevahStaTus_18
1813,,Pakistani radical wanted by U.S. offers aid http://t.co/MJWzX1wo,LiveMalar
1814,,@TurtleDub616 I love you too. I am glad they r home especially with Sandy in town. I will tell everyone. Blessings 2u.,sanbishop
1815,,Ambulances line up to evacuate NYU Hospital. Crazy! #sandy #nyc http://t.co/V16fVhup,ChrisatEncore
1816,,Shore Fellowship outside of Atlantic City NJ is set up for relief in the aftermath of Hurricane Sandy. http://t.co/PEbpKu8Y,riverbankchurch
1817,,#Sandy you have destroyed so much...,CJP45
1818,,RT @db: If you're trying to fly back to NYC don't expect to land at Laguardia before Wed due to flooding: http://t.co/KL0ZBBcb #Sandy,ruthkalinka
1819,,Hurricane #Sandy coverage illustrates creative emergency reporting | Knight Center http://t.co/qBFTw3aK,ReporterAMC
1820,,#Sandy's damage in #EastHaven pales in comparison to Irene's officials say - http://t.co/TiWHNxen @nhregister @nhrswift,RepAlbis
1821,,EASTCOAST! Enjoy this stunning @EricaGlyn 'In Silence' Trailer: http://t.co/uCuHk5ZA #music #nyc #sandy #frankenstorm #nycmusic #halloween,EricaGlyn
1822,,"Good morning NYC... """"Now come the floods"""" via @weatherchannel #Sandy http://t.co/cRkxscgL",nsanseverino
1823,,FuracÃ­Â£o Sandy deve afetar 50 milhÃ­Âµes de pessoas nos EUA http://t.co/aEZVZGoS,RodrigoNarita
1824,True,Double Rainbow Shines in NYC After Superstorm Sandy #mashrules http://t.co/iOjFyVYJ,DBrandMakeover
1825,,BREAKING: Thursday's Knicks-Nets season opener at the Barclays Center is postponed due to the aftermath of Hurricane Sandy.,Corona_Gabriela
1826,,_Who is this Sandy everyone keeps talking about?? What movies does she play in?? Never heard of her before?? #JustKidding #Unlucky,SeanCStevens
1827,,New York City Mayor @MikeBloomberg talks about the city's response to #Hurricane #Sandy. Live on http://t.co/FOkSw980 #NYC,KerryDuza0780
1828,,Brace yourselves NYC #sandy,stefcobb
